Datetime,price,price-7,CC-1,price-1,Gas,weekday
09/01/2016 00:00,31.11,24.57,952.8,28.76,18.75,1
09/01/2016 01:00,29.0,22.2,1359.8,24.36,18.75,1
09/01/2016 02:00,24.3,16.57,1272.8,19.33,18.75,1
09/01/2016 03:00,23.23,15.35,1272.8,16.1,18.75,1
09/01/2016 04:00,21.96,12.77,1279.8,15.0,18.75,1
09/01/2016 05:00,22.45,11.27,1289.8,15.0,18.75,1
09/01/2016 06:00,23.07,11.91,1282.8,18.14,18.75,1
09/01/2016 07:00,24.03,12.62,1394.8,25.21,18.75,1
09/01/2016 08:00,29.0,14.17,1426.8,36.46,18.75,1
09/01/2016 09:00,36.13,17.73,1291.4,39.53,18.75,1
09/01/2016 10:00,36.13,26.81,960.8,37.69,18.75,1
09/01/2016 11:00,35.76,35.4,900.8,37.66,18.75,1
09/01/2016 12:00,32.01,36.1,876.8,36.91,18.75,1
09/01/2016 13:00,31.54,30.34,901.8,36.13,18.75,1
09/01/2016 14:00,27.92,31.26,902.8,36.13,18.75,1
09/01/2016 15:00,21.69,30.99,930.8,32.99,18.75,1
09/01/2016 16:00,23.0,29.0,936.8,32.08,18.75,1
09/01/2016 17:00,30.32,32.0,970.8,37.16,18.75,1
09/01/2016 18:00,36.13,39.99,1286.4,45.0,18.75,1
09/01/2016 19:00,35.0,45.5,1407.1,46.97,18.75,1
09/01/2016 20:00,29.0,55.1,1501.3,48.24,18.75,1
09/01/2016 21:00,25.01,59.0,1559.2,49.21,18.75,1
09/01/2016 22:00,25.1,59.56,1546.9,48.57,18.75,1
09/01/2016 23:00,22.28,51.1,1021.8,40.19,18.75,1
10/01/2016 00:00,10.0,40.66,941.8,36.1,18.75,2
10/01/2016 01:00,5.0,30.25,1567.8,31.11,18.75,2
10/01/2016 02:00,4.0,20.1,1587.8,29.0,18.75,2
10/01/2016 03:00,2.5,14.64,1557.8,24.3,18.75,2
10/01/2016 04:00,2.35,10.12,1569.8,23.23,18.75,2
10/01/2016 05:00,2.3,7.14,1569.8,21.96,18.75,2
10/01/2016 06:00,2.3,9.41,1692.1,22.45,18.75,2
10/01/2016 07:00,2.5,4.14,1691.1,23.07,18.75,2
10/01/2016 08:00,4.0,7.08,1622.0,24.03,18.75,2
10/01/2016 09:00,5.0,11.4,1595.8,29.0,18.75,2
10/01/2016 10:00,8.0,17.64,1207.8,36.13,18.75,2
10/01/2016 11:00,11.1,19.99,1081.8,36.13,18.75,2
10/01/2016 12:00,10.1,22.11,1069.8,35.76,18.75,2
10/01/2016 13:00,12.4,22.68,1119.2,32.01,18.75,2
10/01/2016 14:00,12.4,22.0,1142.2,31.54,18.75,2
10/01/2016 15:00,8.1,19.89,966.8,27.92,18.75,2
10/01/2016 16:00,8.0,17.75,941.8,21.69,18.75,2
10/01/2016 17:00,10.1,18.76,925.8,23.0,18.75,2
10/01/2016 18:00,25.0,21.8,920.8,30.32,18.75,2
10/01/2016 19:00,33.0,26.76,914.8,36.13,18.75,2
10/01/2016 20:00,30.66,27.23,883.8,35.0,18.75,2
10/01/2016 21:00,26.89,25.33,889.8,29.0,18.75,2
10/01/2016 22:00,26.93,23.65,889.8,25.01,18.75,2
10/01/2016 23:00,18.1,22.57,938.8,25.1,18.75,2
11/01/2016 00:00,5.0,21.01,938.8,22.28,18.5,3
11/01/2016 01:00,2.5,13.78,1294.8,10.0,18.5,3
11/01/2016 02:00,2.33,9.0,1294.8,5.0,18.5,3
11/01/2016 03:00,2.3,6.5,1313.8,4.0,18.5,3
11/01/2016 04:00,2.3,5.55,1288.8,2.5,18.5,3
11/01/2016 05:00,2.33,5.0,1288.8,2.35,18.5,3
11/01/2016 06:00,4.0,8.0,1288.8,2.3,18.5,3
11/01/2016 07:00,20.0,19.11,1288.8,2.3,18.5,3
11/01/2016 08:00,40.0,31.44,1288.8,2.5,18.5,3
11/01/2016 09:00,40.0,38.0,1288.8,4.0,18.5,3
11/01/2016 10:00,38.5,40.66,1259.8,5.0,18.5,3
11/01/2016 11:00,35.01,43.0,1012.8,8.0,18.5,3
11/01/2016 12:00,32.1,42.08,925.8,11.1,18.5,3
11/01/2016 13:00,34.1,41.23,942.8,10.1,18.5,3
11/01/2016 14:00,31.0,41.48,964.8,12.4,18.5,3
11/01/2016 15:00,31.0,40.33,964.8,12.4,18.5,3
11/01/2016 16:00,32.0,38.8,964.8,8.1,18.5,3
11/01/2016 17:00,37.21,38.0,964.8,8.0,18.5,3
11/01/2016 18:00,42.88,41.21,950.8,10.1,18.5,3
11/01/2016 19:00,40.0,42.95,753.8,25.0,18.5,3
11/01/2016 20:00,40.59,41.96,743.8,33.0,18.5,3
11/01/2016 21:00,40.1,40.81,735.8,30.66,18.5,3
11/01/2016 22:00,34.1,40.66,725.8,26.89,18.5,3
11/01/2016 23:00,28.1,37.67,780.8,26.93,18.5,3
12/01/2016 00:00,21.51,23.9,845.8,18.1,18.5,4
12/01/2016 01:00,15.0,24.28,1323.8,5.0,18.5,4
12/01/2016 02:00,8.5,22.0,1281.0,2.5,18.5,4
12/01/2016 03:00,8.5,13.0,1240.0,2.33,18.5,4
12/01/2016 04:00,9.8,12.9,1212.4,2.3,18.5,4
12/01/2016 05:00,16.0,12.9,1172.5,2.3,18.5,4
12/01/2016 06:00,24.38,17.69,1234.1,2.33,18.5,4
12/01/2016 07:00,35.92,23.89,1205.2,4.0,18.5,4
